station,valid,fx_valid,raw,is_tempo,fx_valid_end,sknt,drct,gust,visibility,presentwx,skyc,skyl,ws_level,ws_drct,ws_sknt,product_id,ftype
KACY,2026-01-20 23:36,2026-01-21 18:00,FM211800 19012G21KT P6SM FEW160,False,,12.0,190.0,21.0,6.01,[],['FEW'],[16000],,,,202601202336-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 05:21,2026-01-21 05:21,2106/2206 VRB02KT P6SM SKC,False,,,,,6.01,[],['SKC'],[None],,,,202601210521-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-21 05:21,2026-01-21 16:00,FM211600 17005KT P6SM FEW250,False,,5.0,170.0,0.0,6.01,[],['FEW'],[25000],,,,202601210521-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 05:21,2026-01-21 18:00,FM211800 19011G22KT P6SM SCT250,False,,11.0,190.0,22.0,6.01,[],['SCT'],[25000],,,,202601210521-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 05:21,2026-01-22 01:00,FM220100 20009KT P6SM BKN100 WS020/21040KT,False,,9.0,200.0,0.0,6.01,[],['BKN'],[10000],2000.0,210.0,40.0,202601210521-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 11:20,2026-01-21 11:20,2112/2212 VRB02KT P6SM SKC,False,,,,,6.01,[],['SKC'],[None],,,,202601211120-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-21 11:20,2026-01-21 16:00,FM211600 17005KT P6SM FEW200,False,,5.0,170.0,0.0,6.01,[],['FEW'],[20000],,,,202601211120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 11:20,2026-01-21 18:00,FM211800 19010G20KT P6SM SCT200,False,,10.0,190.0,20.0,6.01,[],['SCT'],[20000],,,,202601211120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 11:20,2026-01-22 01:00,FM220100 20009KT P6SM BKN090 WS020/21040KT,False,,9.0,200.0,0.0,6.01,[],['BKN'],[9000],2000.0,210.0,40.0,202601211120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 11:20,2026-01-22 08:00,FM220800 22009KT P6SM SCT100 WS020/24040KT,False,,9.0,220.0,0.0,6.01,[],['SCT'],[10000],2000.0,240.0,40.0,202601211120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 17:32,2026-01-21 17:32,2118/2218 19011G19KT P6SM FEW200,False,,11.0,190.0,19.0,6.01,[],['FEW'],[20000],,,,202601211732-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-21 17:32,2026-01-22 01:00,FM220100 21010KT P6SM BKN100 WS020/22045KT,False,,10.0,210.0,0.0,6.01,[],['BKN'],[10000],2000.0,220.0,45.0,202601211732-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 17:32,2026-01-22 07:00,FM220700 23009KT P6SM SCT070 WS020/24045KT,False,,9.0,230.0,0.0,6.01,[],['SCT'],[7000],2000.0,240.0,45.0,202601211732-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 17:32,2026-01-22 12:00,FM221200 24009KT P6SM FEW250,False,,9.0,240.0,0.0,6.01,[],['FEW'],[25000],,,,202601211732-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 17:32,2026-01-22 15:00,FM221500 25011G20KT P6SM FEW250,False,,11.0,250.0,20.0,6.01,[],['FEW'],[25000],,,,202601211732-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 23:26,2026-01-21 23:26,2200/2224 20011KT P6SM SCT150 WS020/22045KT,False,,11.0,200.0,0.0,6.01,[],['SCT'],[15000],2000.0,220.0,45.0,202601212326-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-21 23:26,2026-01-22 03:00,FM220300 21011KT P6SM BKN080 WS020/23045KT,False,,11.0,210.0,0.0,6.01,[],['BKN'],[8000],2000.0,230.0,45.0,202601212326-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 23:26,2026-01-22 07:00,FM220700 23011KT P6SM BKN100 WS020/24045KT,False,,11.0,230.0,0.0,6.01,[],['BKN'],[10000],2000.0,240.0,45.0,202601212326-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 23:26,2026-01-22 12:00,FM221200 25010KT P6SM FEW250,False,,10.0,250.0,0.0,6.01,[],['FEW'],[25000],,,,202601212326-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-21 23:26,2026-01-22 15:00,FM221500 26012G20KT P6SM FEW250,False,,12.0,260.0,20.0,6.01,[],['FEW'],[25000],,,,202601212326-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-22 05:20,2026-01-22 05:20,2206/2306 21011KT P6SM BKN070 WS020/24045KT,False,,11.0,210.0,0.0,6.01,[],['BKN'],[7000],2000.0,240.0,45.0,202601220520-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-22 05:20,2026-01-22 12:00,FM221200 25010KT P6SM FEW070,False,,10.0,250.0,0.0,6.01,[],['FEW'],[7000],,,,202601220520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-22 05:20,2026-01-22 16:00,FM221600 27016G27KT P6SM SCT250,False,,16.0,270.0,27.0,6.01,[],['SCT'],[25000],,,,202601220520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-22 05:20,2026-01-22 22:00,FM222200 28008KT P6SM BKN250,False,,8.0,280.0,0.0,6.01,[],['BKN'],[25000],,,,202601220520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-22 11:20,2026-01-22 11:20,2212/2312 25010KT P6SM FEW070,False,,10.0,250.0,0.0,6.01,[],['FEW'],[7000],,,,202601221120-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-22 11:20,2026-01-22 16:00,FM221600 27016G27KT P6SM SCT250,False,,16.0,270.0,27.0,6.01,[],['SCT'],[25000],,,,202601221120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-22 11:20,2026-01-22 22:00,FM222200 28008KT P6SM BKN250,False,,8.0,280.0,0.0,6.01,[],['BKN'],[25000],,,,202601221120-KPHI-FTUS41-TAFACY,Forecast
